1,SU-11436,0266844437,2021,2,2,7,50,10,0,930,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,600,933,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,1200,936,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,1800,940,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,2400,941,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,3000,945,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,3600,946,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,4200,950,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,4800,952,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,5400,954,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,6000,956,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,6600,959,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,7200,961,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,7800,964,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,8400,965,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,9000,967,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,9600,969,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,10200,971,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,10800,973,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,11400,975,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,12000,976,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,12600,978,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,13200,979,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,13800,979,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,14400,980,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,15000,980,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,15600,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,16200,981,281,21
1,SU-11436,0266844437,2021,2,2,7,50,10,16800,982,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,17400,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,18000,982,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,18600,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,19200,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,19800,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,20400,981,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,21000,980,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,21600,979,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,22200,980,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,22800,979,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,23400,978,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,24000,978,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,24600,976,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,25200,976,281,20
1,SU-11436,0266844437,2021,2,2,7,50,10,25800,976,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,26400,974,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,27000,974,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,27600,973,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,28200,971,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,28800,970,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,29400,968,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,30000,966,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,30600,964,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,31200,962,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,31800,960,281,19
1,SU-11436,0266844437,2021,2,2,7,50,10,32400,958,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,33000,955,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,33600,953,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,34200,951,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,34800,948,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,35400,945,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,36000,943,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,36600,939,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,37200,936,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,37800,932,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,38400,929,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,39000,925,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,39600,922,281,18
1,SU-11436,0266844437,2021,2,2,7,50,10,40200,917,281,17
1,SU-11436,0266844437,2021,2,2,7,50,10,40800,913,281,17
1,SU-11436,0266844437,2021,2,2,7,50,10,41400,909,281,17
1,SU-11436,0266844437,2021,2,2,7,50,10,42000,906,281,17
1,SU-11436,0266844437,2021,2,2,7,50,10,42600,902,281,16
1,SU-11436,0266844437,2021,2,2,7,50,10,43200,902,281,00
1,SU-11436,0266844437,2021,2,2,7,50,10,43800,902,280,90
